"IndicatorCode","IndicatorName","VariableName","MeasurementName","CountryCode","Alpha3Code","CountryName","PeriodCode","Value",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2009","8947314",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2010","9054332",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2011","9173082",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2012","9295784",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2013","9416801",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2014","9535079",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2015","9649341",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2016","9757812",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2017","9854033",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2018","9939771",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2019","9931226",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2020","10000064",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2021","10044693",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2022","..",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2023","..",
"25","Total population, pers.","Total population","Persons","031","AZE","Azerbaijan","2024","..",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2005","9663915",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2006","9604924",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2007","9560953",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2008","9527985",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2009","9504583",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2010","9483836",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2011","9461643",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2012","9446836",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2013","9443211",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2014","9448515",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2015","9461076",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2016","9469379",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2017","9458989",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2018","9438785",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2019","9419758",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2020","9379952",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2021","9302585",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2022","..",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2023","..",
"25","Total population, pers.","Total population","Persons","112","BLR","Belarus","2024","..",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2005","10478617",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2006","10547958",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2007","10625700",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2008","10709973",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2009","10796493",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2010","10920272",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2011","11038264",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2012","11106932",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2013","11159407",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2014","11209057",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2015","11274196",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2016","11331422",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2017","11375158",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2018","11427054",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2019","11488980",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2020","11538604",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2021","11586195",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2022","11680210",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2023","11779946",
"25","Total population, pers.","Total population","Persons","056","BEL","Belgium","2024","11850296",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2005","3915238",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2006","3926406",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2007","3934816",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2008","3940398",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2009","3942701",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2010","3843126",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2011","3839737",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2012","3836377",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2013","3531159",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2014","3528517",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2015","3522827",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2016","3514458",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2017","3508073",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2018","3500295",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2019","3486789",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2020","3472970",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2021","3452789",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2022","..",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2023","..",
"25","Total population, pers.","Total population","Persons","070","BIH","Bosnia and Herzegovina","2024","..",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2005","7658972",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2006","7601022",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2007","7545338",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2008","7492561",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2009","7444443",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2010","7395599",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2011","7348328",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2012","7264890",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2013","7160005",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2014","7073572",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2015","6984225",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2016","6894139",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2017","6803468",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2018","6710798",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2019","6616726",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2020","6550696",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2021","6507301",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2022","6465097",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2023","6446596",
"25","Total population, pers.","Total population","Persons","100","BGR","Bulgaria","2024","6441421",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2005","32243753",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2006","32571174",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2007","32889025",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2008","33247118",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2009","33628895",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2010","34004889",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2011","34339328",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2012","34714222",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2013","35082954",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2014","35437435",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2015","35702908",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2016","36109487",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2017","36545236",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2018","37065084",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2019","37601230",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2020","38007166",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2021","38226498",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2022","..",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2023","..",
"25","Total population, pers.","Total population","Persons","124","CAN","Canada","2024","..",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2005","4311674",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2006","4313009",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2007","4312749",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2008","4310882",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2009","4306322",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2010","4296352",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2011","4282921",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2012","4261894",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2013","4232718",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2014","4199274",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2015","4156015",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2016","4104942",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2017","4046555",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2018","3991509",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2019","3951094",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2020","3913269",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2021","3877666",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2022","3856600",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2023","3856431",
"25","Total population, pers.","Total population","Persons","191","HRV","Croatia","2024","3868159",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2005","738540",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2006","750965",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2007","767125",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2008","786632",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2009","808035",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2010","829446",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2011","850881",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2012","862433",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2013","861443",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2014","860439",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2015","862305",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2016","866821",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2017","874240",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2018","884398",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2019","896312",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2020","908453",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2021","922120",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2022","939424",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2023","957725",
"25","Total population, pers.","Total population","Persons","196","CYP","Cyprus","2024","974666",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2005","10211216",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2006","10238905",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2007","10298828",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2008","10384603",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2009","10443936",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2010","10474410",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2011","10496088",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2012","10510785",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2013","10514272",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2014","10525347",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2015","10546059",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2016","10566332",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2017","10594438",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2018","10629928",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2019","10671870",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2020","10594388",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2021","10505772",
"25","Total population, pers.","Total population","Persons","203","CZE","Czechia","2022","10672118",
